CITY_CODE,CITY_NAME,COUNTRY,CONTINENT
29173,KATHMANDU,Nepal,Asia
29254,ABIDJAN,Ivory Coast,Africa
29262,ABU DHABI,United Arab Emirates,Asia
29270,ACCRA,Ghana,Africa
29289,UNKNOWN,None,None
29297,ANKARA,Turkey,Asia
29300,ALGIERS,Algeria,Africa
29319,ARTIGAS,Uruguay,South America
29327,ASUNCION,Paraguay,South America
29955,LISBON,Portugal,Europe
30228,NEW YORK,United States,North America
30244,OSLO,Norway,Europe
30252,OTTAWA,Canada,North America
30260,PANAMA CITY,Panama,North America
30279,PARAMARIBO,Suriname,South America
30961,FARO,Portugal,Europe
30988,SARAJEVO,Bosnia and Herzegovina,Europe
38881,BELMOPAN,Belize,North America
38903,CONAKRY,Guinea,Africa
38920,COTONOU,Benin, Africa
38962,DAR ES SALAAM,Tanzania,Africa
38989,YEREVAN,Armenia,Asia
39004,MENDOZA,Argentina,South America
39020,ZAGREB,Croatia,Europe
39063,VANCOUVER,Canada,North America
39080,ATLANTA,United States,North America
30503,SAN FRANCISCO,United States,North America
30511,SAN JOSE,United States,North America
30520,SAN SALVADOR,El Salvador,North America
30538,SEOUL,South Korea,Asia
30546,SOFIA,Bulgaria,Europe
30562,SYDNEY,Australia,Australia
30120,MILAN,Italy,Europe
30198,NAGOYA,Japan,Asia
30066,MADRID,Spain,Europe
30074,MANAGUA,Nicaragua,North America
30082,MANILA,Philippines,Asia
30090,MAPUTO,Mozambique,Africa
30104,MEXICO CITY,Mexico,North America
30112,MIAMI,United States,North America
29971,LONDON,United Kingdom,Europe
39102,MUSCAT,Oman,Asia
39128,BAKU,Azerbaijan,Asia
39160,LJUBLJANA,Slovenia,Europe
39187,BRAZZAVILLE,Republic of the Congo,Africa
39209,BRATISLAVA,Slovakia,Europe
39225,SAO TOME,Sao Tome and Principe,Africa
39241,NUR-SULTAN,Kazakhstan,Asia
39263,MALABO,Equatorial Guinea,Africa
39284,OUAGADOUGOU,Burkina Faso,Africa
39306,ISTANBUL,Turkey,Asia/Europe
39322,NICOSIA,Cyprus,Asia/Europe
98000,GUATEMALA CITY,Guatemala,North America
99104,TBILISI,Georgia,Asia/Europe
99139,TIRANA,Albania,Europe
99147,SAINT JOHNS,Antigua and Barbuda,North America
99155,PUERTO IGUAZU,Argentina,South America
99171,BAGHDAD,Iraq,Asia
